categoria,nombre,descripcion,imagen_url
boda,"Boda Premium - Modelo 1",,
boda,"Boda Exclusivo - Modelo 2",,
babyshower,"Mobiliario Rosa y Blanco Tematica de Bebe",,
babyshower,"Babyshower Premium - Modelo 1",,
babyshower,"Babyshower Exclusivo - Modelo 2",,
babyshower,"Babyshower Hermoso - Modelo 3",,
babyshower,"Babyshower Especial - Modelo 4",,
babyshower,"Babyshower Personalizado - Modelo 5",,
babyshower,"Babyshower Moderno - Modelo 6",,
babyshower,"Babyshower Elegante - Modelo 7",,
babyshower,"Babyshower Premium - Modelo 8",,
babyshower,"Babyshower Exclusivo - Modelo 9",,
bautizos,"Arco de Globos + Arreglo de Flores Bautizo",,
bautizos,"Arco de Globos Celeste y Blanco",,
bautizos,"Arco de Globos Rosado y Bautizo",,
bautizos,"Bautizo",,
bautizos,"Bautizos Premium - Modelo 1",,
bautizos,"Bautizos Exclusivo - Modelo 2",,
fiesta-infantil,"Arco de Globos Hello Kitty",,
fiesta-infantil,"Decoracion con Globos de Princesa",,
fiesta-infantil,"Paw Patrol",,
fiesta-infantil,"Thumbnail",,
fiesta-infantil,"Fiesta Infantil Premium - Modelo 1",,
fiesta-infantil,"Fiesta Infantil Exclusivo - Modelo 2",,
fiesta-infantil,"Fiesta Infantil Hermoso - Modelo 3",,
fiesta-infantil,"Fiesta Infantil Especial - Modelo 4",,
fiesta-infantil,"Fiesta Infantil Personalizado - Modelo 5",,
fiesta-infantil,"Fiesta Infantil Moderno - Modelo 6",,
fiesta-infantil,"Fiesta Infantil Elegante - Modelo 7",,
fiesta-infantil,"Fiesta Infantil Premium - Modelo 8",,
fiesta-infantil,"Fiesta Infantil Exclusivo - Modelo 9",,
fiesta-infantil,"Fiesta Infantil Hermoso - Modelo 10",,
fiesta-infantil,"Fiesta Infantil Especial - Modelo 11",,
fiesta-infantil,"Fiesta Infantil Personalizado - Modelo 12",,
fiesta-infantil,"Fiesta Infantil Moderno - Modelo 13",,
fiesta-infantil,"Fiesta Infantil Elegante - Modelo 14",,
fiesta-infantil,"Fiesta Infantil Premium - Modelo 15",,
fiesta-infantil,"Fiesta Infantil Exclusivo - Modelo 16",,
decoracion-romantica-de-habitacion,"Decoracion de Globos y Petalos de Rosa Azul y Plateado",,
decoracion-romantica-de-habitacion,"Decoracion Romantica De Habitacion Premium - Modelo 1",,
decoracion-romantica-de-habitacion,"Decoracion Romantica De Habitacion Exclusivo - Modelo 2",,
decoracion-romantica-de-habitacion,"Decoracion Romantica De Habitacion Hermoso - Modelo 3",,
decoracion-romantica-de-habitacion,"Decoracion Romantica De Habitacion Especial - Modelo 4",,
decoracion-romantica-de-habitacion,"Decoracion Romantica De Habitacion Personalizado - Modelo 5",,
decoracion-romantica-de-habitacion,"Decoracion Romantica De Habitacion Moderno - Modelo 6",,
decoraciones,"Arco de Flores Azul y Dorado + Fondo Doble + Letrero de Luces",,
decoraciones,"Arco de Flores Azul y Dorado con Mobiliario Azules",,
decoraciones,"Arco de Flores con Mobiliario Dorado y Blanco",,
decoraciones,"Arco de Flores Rosado",,
decoraciones,"Arco de Flores Universitario",,
decoraciones,"Arco de Globos Azul, Blanco y Dorado",,
decoraciones,"Arco de Globos con Flores Dorado y Rosado",,
decoraciones,"Arco de Globos con Hojas Doradas",,
decoraciones,"Arco de Globos con Letreros de Luces + Arreglo de Flores",,
decoraciones,"Arco de Globos con Letreros Neon + Mobiliario Transparente",,
decoraciones,"Arco de Globos Crema, Dorado y Rosado",,
decoraciones,"Arco de Globos Del Real Madrid",,
decoraciones,"Arco de Globos Doble con Fondo Personalizado Rojo, Blanco y Plateado",,
decoraciones,"Arco de Globos Dorado con Fondo Blanco y Una Mesa",,
decoraciones,"Arco de Globos Dorado y Azul",,
decoraciones,"Arco de Globos Dorado, Blanco y Rosa con Mobiliario de Madera",,
decoraciones,"Arco de Globos Dorado, Blanco y Rosa con Mobiliario Dorado",,
decoraciones,"Arco de Globos Dorado y Blanco",,
decoraciones,"Arco de Globos Dorado, Plateado y Negro",,
decoraciones,"Arco de Globos Dorado y Rosa con Arreglos de Flores",,
decoraciones,"Arco de Globos Morado y Dorado",,
decoraciones,"Arco de Globos Negro, Dorado y Cafe",,
decoraciones,"Arco de Globos Negro y Dorado",,
decoraciones,"Arco de Globos Plateado, Blanco y Rosa",,
decoraciones,"Arco de Globos Rojo- Dorado + Letreros de Luces + Inmobiliario Transparente",,
decoraciones,"Arco de Globos Rojo, Blanco y Dorado con Arreglo de Flores",,
decoraciones,"Arco de Globos Rosado",,
decoraciones,"Arco de Globos Tonos Rosados",,
decoraciones,"Arco de Globos Verde y Dorado",,
decoraciones,"Cortinas con Globos Azules y Plateados",,
decoraciones,"Mobiliario para Fiestas",,
decoraciones,"Mural de Globos",,
decoraciones,"Parante de Globos + Arreglo de Globos",,
decoraciones,"Parante de Globos + Cortinas con Globos Dorados y Rosados",,
decoraciones,"Parante de Globos + Globo Personalizado",,
decoraciones,"Decoraciones Premium - Modelo 1",,
decoraciones,"Decoraciones Exclusivo - Modelo 2",,
decoraciones,"Decoraciones Hermoso - Modelo 3",,
decoraciones,"Decoraciones Especial - Modelo 4",,
decoraciones,"Decoraciones Personalizado - Modelo 5",,
decoraciones,"Decoraciones Moderno - Modelo 6",,
decoraciones,"Decoraciones Elegante - Modelo 7",,
decoraciones,"Decoraciones Premium - Modelo 8",,
decoraciones,"Decoraciones Exclusivo - Modelo 9",,
decoraciones,"Decoraciones Hermoso - Modelo 10",,
decoraciones,"Decoraciones Especial - Modelo 11",,
decoraciones,"Decoraciones Personalizado - Modelo 12",,
decoraciones,"Decoraciones Moderno - Modelo 13",,
decoraciones,"Decoraciones Elegante - Modelo 14",,
